data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,7900,114,91,4152,22,2607,1,-1,3,10.677078252031311
2020-10-02 17:00:00,7972,72,56,3949,15,2663,1,6,-1,8.48528137423857
2020-10-03 17:00:00,8083,111,98,3918,12,2761,1,3,-1,10.535653752852738
2020-10-04 17:00:00,8234,151,136,3486,15,2897,0,5,1,12.288205727444508
2020-10-05 17:00:00,8317,83,59,1417,23,2956,1,8,1,9.1104335791443
2020-10-06 17:00:00,8423,106,35,4416,67,2991,4,5,7,10.295630140987
2020-10-07 17:00:00,8619,196,142,4822,54,3133,0,7,2,14.0
2020-10-08 17:00:00,8867,248,201,4754,46,3334,1,27,0,15.748015748023622
2020-10-09 17:00:00,9116,249,216,4596,31,3550,2,22,0,15.7797338380595
2020-10-10 17:00:00,9300,184,161,5189,22,3711,1,0,-1,13.564659966250536
2020-10-11 17:00:00,9512,212,96,3887,115,3807,1,1,-1,14.560219778561036
2020-10-12 17:00:00,9669,157,106,2433,45,3913,6,6,-2,12.529964086141668
2020-10-13 17:00:00,9849,180,85,5588,93,3998,2,3,4,13.416407864998739
2020-10-14 17:00:00,10164,315,231,5844,82,4229,2,1,0,17.74823934929885
2020-10-15 17:00:00,10421,257,180,5346,70,4409,7,8,3,16.0312195418814
2020-10-16 17:00:00,10734,313,264,5582,44,4673,5,7,0,17.69180601295413
2020-10-17 17:00:00,11084,350,307,5382,41,4980,2,42,7,18.708286933869708
2020-10-18 17:00:00,11385,301,253,4633,45,5233,3,9,3,17.349351572897472
2020-10-19 17:00:00,11706,321,230,2446,87,5463,4,20,2,17.916472867168917
2020-10-20 17:00:00,12001,295,267,5827,25,5730,3,35,1,17.175564037317667
2020-10-21 17:00:00,12325,324,261,5300,61,5991,2,6,3,18.0
2020-10-22 17:00:00,12810,485,288,5651,196,6279,1,10,8,22.02271554554524
2020-10-23 17:00:00,13400,590,549,5253,40,6828,1,31,2,24.289915602982237
2020-10-24 17:00:00,14031,631,570,5339,51,7398,10,43,1,25.11971337416094
2020-10-25 17:00:00,14546,515,474,4377,34,7872,7,26,4,22.693611435820433
2020-10-26 17:00:00,14970,424,407,3057,7,8279,10,41,2,20.591260281974
2020-10-27 17:00:00,15581,611,429,5147,169,8708,13,46,3,24.71841418861655
2020-10-28 17:00:00,16353,772,729,6437,30,9437,13,55,8,27.784887978899608
2020-10-29 17:00:00,17069,716,565,7083,144,10002,7,-21,8,26.758176320519304
2020-10-30 17:00:00,17860,791,697,5591,87,10699,7,-35,6,28.124722220850465
2020-10-31 17:00:00,18622,762,694,6279,58,11393,10,4,3,27.60434748368452
2020-11-01 17:00:00,19302,680,639,6533,33,12032,8,39,0,26.076809620810597
2020-11-02 17:00:00,19928,626,537,4060,80,12569,9,28,1,25.019992006393608
2020-11-03 17:00:00,21091,1163,956,5955,194,13525,13,44,7,34.10278580995987
2020-11-04 17:00:00,22085,994,708,6196,276,14233,10,-4,21,31.52776554086889
2020-11-05 17:00:00,22935,850,590,7543,234,14823,26,0,6,29.154759474226502
2020-11-06 17:00:00,23881,946,806,7728,127,15629,13,42,0,30.757112998459398
2020-11-07 17:00:00,24935,1054,944,7081,96,16573,14,89,2,32.46536616149585
2020-11-08 17:00:00,25701,766,614,6723,131,17187,21,4,-1,27.676705006196094
2020-11-09 17:00:00,26431,730,626,4103,97,17813,7,88,-4,27.018512172212592
2020-11-10 17:00:00,27676,1245,1073,8825,147,18886,25,61,12,35.2845575287547
2020-11-11 17:00:00,29008,1332,1213,7913,92,20099,27,102,11,36.49657518178932
2020-11-12 17:00:00,30442,1434,1156,8936,239,21255,39,62,3,37.86819245752297
2020-11-13 17:00:00,31792,1350,1256,8461,72,22511,22,56,13,36.742346141747674
2020-11-14 17:00:00,33533,1741,1489,9745,236,24000,16,40,20,41.72529209005013
2020-11-15 17:00:00,34438,905,702,6070,191,24702,12,-28,2,30.083217912982647
2020-11-16 17:00:00,35482,1044,823,4425,185,25525,36,34,2,32.31098884280702
2020-11-17 17:00:00,36716,1234,1082,6228,116,26607,36,21,-1,35.12833614050059
2020-11-18 17:00:00,38084,1368,1007,10265,333,27614,28,4,17,36.98648401781386
2020-11-19 17:00:00,39347,1263,886,9386,349,28500,28,4,2,35.53871128783372
2020-11-20 17:00:00,40803,1456,934,10102,506,29434,16,84,2,38.157568056677825
2020-11-21 17:00:00,42180,1377,986,9803,372,30420,19,24,-5,37.107950630558946
2020-11-22 17:00:00,43507,1327,932,6677,363,31352,32,17,-9,36.42801120017397
2020-11-23 17:00:00,44487,980,627,3869,313,31979,40,50,3,31.304951684997057
2020-11-24 17:00:00,46054,1567,980,9770,535,32959,52,-14,14,39.585350825778974
2020-11-25 17:00:00,47565,1511,1112,9988,369,34071,30,-2,5,38.87158345115362
2020-11-26 17:00:00,49001,1436,908,9612,476,34979,52,94,1,37.89459064299283
2020-11-27 17:00:00,50738,1737,1438,9505,251,36417,48,77,-10,41.677331968349414
2020-11-28 17:00:00,52311,1573,1237,10032,306,37654,30,21,-1,39.66106403010388
2020-11-29 17:00:00,53218,907,590,8285,296,38244,21,0,12,30.116440692751194
2020-11-30 17:00:00,54320,1102,528,4151,544,38772,30,17,-3,33.19638534539566
2020-12-01 17:00:00,55979,1659,994,9820,631,39766,34,1,9,40.7308237088326
2020-12-02 17:00:00,57647,1668,994,9693,645,40760,29,-8,-14,40.84115571332428
2020-12-03 17:00:00,59249,1602,989,8753,571,41749,42,-64,22,40.024992192379
2020-12-04 17:00:00,60668,1419,795,9480,552,42544,72,-25,1,37.66961640367472
2020-12-05 17:00:00,62552,1884,1616,10119,240,44160,28,-20,-7,43.40506882842141
2020-12-06 17:00:00,64341,1789,1674,7293,91,45834,24,37,-17,42.2965719651132
2020-12-07 17:00:00,65342,1001,744,3821,233,46578,24,-5,-6,31.63858403911275
2020-12-08 17:00:00,66257,915,734,9646,158,47312,23,-3,0,30.24896692450835
2020-12-09 17:00:00,67174,917,758,2758,139,48070,20,34,2,30.28200785945344
2020-12-10 17:00:00,68506,1332,732,11168,545,48802,55,-39,1,36.49657518178932
2020-12-11 17:00:00,70319,1813,1189,11223,590,49991,34,-5,-13,42.579337712087536
2020-12-12 17:00:00,71797,1478,1245,10209,190,51236,43,-8,7,38.44476557348217
2020-12-13 17:00:00,72972,1175,910,7122,242,52146,23,-40,-3,34.27827300200522
2020-12-14 17:00:00,73628,656,-114,4878,746,52032,24,4,-7,25.612496949731394
2020-12-15 17:00:00,74651,1023,243,10163,726,52275,54,-21,3,31.984371183438952
2020-12-16 17:00:00,76039,1388,575,10188,768,52850,45,-32,-2,37.255872020394314
2020-12-17 17:00:00,77112,1073,-234,10728,1264,52616,43,-24,-6,32.7566787083184
2020-12-18 17:00:00,78426,1314,218,9346,1066,52834,30,-17,-5,36.24913792078372
2020-12-19 17:00:00,79808,1382,555,10848,801,53389,26,-25,3,37.17526059088221
2020-12-20 17:00:00,80599,791,483,7495,285,53872,23,4,-8,28.124722220850465
2020-12-21 17:00:00,81387,788,-298,4377,1055,53574,31,-5,-5,28.071337695236398
2020-12-22 17:00:00,82263,876,-282,10420,1123,53292,35,-10,3,29.597297173897484
2020-12-23 17:00:00,83205,942,-420,10492,1342,52872,20,-4,5,30.692018506445613
2020-12-24 17:00:00,84663,1458,259,12308,1180,53131,19,5,-2,38.18376618407357
2020-12-25 17:00:00,85674,1011,458,7540,527,53589,26,-9,-4,31.796226191169293
2020-12-26 17:00:00,86218,544,201,2391,318,53790,25,22,-8,23.323807579381203
2020-12-27 17:00:00,86439,221,-152,1748,361,53638,12,9,-4,14.866068747318506
2020-12-28 17:00:00,87084,645,-481,4147,1079,53157,47,50,-15,25.39685019840059
2020-12-29 17:00:00,87833,749,-324,9668,1039,52833,34,-28,-3,27.367864366808018
2020-12-30 17:00:00,89303,1470,-93,11121,1540,52740,23,31,-8,38.34057902536163
2020-12-31 17:00:00,90964,1661,262,10836,1378,53002,21,-7,1,40.755367744629666
2021-01-01 17:00:00,92359,1395,911,7045,475,53913,9,-14,8,37.3496987939662
2021-01-02 17:00:00,92703,344,-101,2021,435,53812,10,27,2,18.547236990991408
2021-01-03 17:00:00,93653,950,266,7591,659,54078,25,-27,-3,30.822070014844883
2021-01-04 17:00:00,94284,631,-539,4138,1150,53539,20,-12,1,25.11971337416094
2021-01-05 17:00:00,95365,1081,41,10273,1026,53580,14,-63,15,32.87856444554719
2021-01-06 17:00:00,96946,1581,448,10037,1110,54028,23,-18,1,39.761790704142086
2021-01-07 17:00:00,97603,657,-487,3176,1123,53541,21,7,1,25.632011235952593
